,year_month,year,month_num,month,no_of_rainy_days,maximum_rainfall_in_a_day,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,max_temperature,temp_extremes_min,temp_mean_daily_max,temp_mean_daily_min
143,1993-12,1993,12,Dec,19,67.6,308.5,87.4,57,4.2,26.5,32.9,22.4,30.3,24.0
144,1994-01,1994,1,Jan,7,17.5,56.9,82.1,50,6.1,26.9,32.4,23.1,30.9,24.1
145,1994-02,1994,2,Feb,15,26.3,133.5,84.5,53,6.4,27.0,32.5,22.6,31.6,24.0
146,1994-03,1994,3,Mar,19,64.2,288.2,87.1,55,3.5,26.8,32.2,22.9,30.5,24.2
147,1994-04,1994,4,Apr,15,46.3,154.0,84.8,54,5.8,27.9,33.6,23.2,31.9,24.8
148,1994-05,1994,5,May,16,45.1,169.6,84.8,52,5.0,28.1,32.6,22.6,31.1,25.1
149,1994-06,1994,6,Jun,14,61.1,184.7,83.5,55,6.0,28.1,33.1,22.2,31.3,25.2
150,1994-07,1994,7,Jul,6,17.0,53.8,78.9,53,7.6,28.4,32.7,20.5,31.6,25.7
151,1994-08,1994,8,Aug,12,15.5,45.1,80.0,52,6.5,28.1,32.9,22.5,31.9,25.2
152,1994-09,1994,9,Sep,6,11.3,23.7,78.7,37,3.8,28.3,34.1,22.0,31.9,25.5
153,1994-10,1994,10,Oct,11,35.4,84.7,81.5,43,4.5,27.9,34.2,22.7,32.1,24.6
154,1994-11,1994,11,Nov,21,178.3,322.2,88.4,58,4.5,26.7,32.5,22.4,30.5,24.0
155,1994-12,1994,12,Dec,18,133.8,425.4,85.5,58,5.3,26.9,32.6,22.0,30.7,24.1
156,1995-01,1995,1,Jan,21,108.3,349.4,86.2,59,5.0,26.8,32.8,21.8,30.6,24.1
157,1995-02,1995,2,Feb,16,159.3,334.0,87.5,60,4.9,26.5,32.4,22.6,29.9,23.9
158,1995-03,1995,3,Mar,10,31.1,67.7,83.9,54,5.9,27.6,33.2,23.1,31.8,24.6
159,1995-04,1995,4,Apr,16,73.6,242.3,85.3,53,5.6,27.9,33.5,23.5,32.0,25.0
160,1995-05,1995,5,May,11,32.8,84.4,83.7,54,6.0,28.5,34.0,23.2,32.3,25.6
161,1995-06,1995,6,Jun,12,45.0,63.7,81.9,51,6.6,28.9,34.0,24.3,32.7,25.8
162,1995-07,1995,7,Jul,13,52.3,173.6,82.6,58,5.2,28.0,33.0,22.8,31.2,25.2
163,1995-08,1995,8,Aug,21,37.9,211.6,85.6,58,4.1,27.4,32.4,22.8,30.6,24.6
164,1995-09,1995,9,Sep,7,5.7,29.5,81.6,51,5.8,28.3,33.0,22.6,32.0,25.1
165,1995-10,1995,10,Oct,12,37.1,101.1,82.8,45,4.7,27.8,34.1,22.9,32.1,24.8
166,1995-11,1995,11,Nov,20,198.6,372.8,86.8,51,3.7,27.0,33.3,22.5,31.0,24.1
167,1995-12,1995,12,Dec,20,55.6,302.5,86.6,58,3.1,26.3,32.5,22.5,29.5,23.9
168,1996-01,1996,1,Jan,10,39.0,173.2,84.2,54,5.2,26.2,32.5,22.1,30.1,23.4
169,1996-02,1996,2,Feb,11,53.0,180.2,84.6,52,5.8,26.5,32.0,22.3,30.2,24.0
170,1996-03,1996,3,Mar,8,61.8,129.7,81.0,50,7.7,27.8,34.4,22.2,32.4,24.5
171,1996-04,1996,4,Apr,15,55.7,178.2,85.5,56,5.4,27.8,33.6,23.2,31.7,24.9
172,1996-05,1996,5,May,15,18.6,107.5,83.7,55,7.0,28.5,33.3,22.9,32.4,25.2
173,1996-06,1996,6,Jun,15,94.3,265.8,84.3,56,5.9,28.3,33.9,22.1,32.0,25.3
174,1996-07,1996,7,Jul,10,55.3,162.3,81.9,52,6.7,28.3,33.3,22.1,31.5,25.4
175,1996-08,1996,8,Aug,18,64.6,258.4,83.4,50,5.0,27.4,33.1,22.3,31.4,24.3
176,1996-09,1996,9,Sep,18,66.5,297.0,82.2,52,4.8,27.7,33.2,22.3,31.1,24.6
177,1996-10,1996,10,Oct,19,45.8,300.0,83.0,52,4.3,27.5,33.1,22.9,31.2,24.4
178,1996-11,1996,11,Nov,16,60.5,180.2,83.5,43,4.4,27.3,33.6,22.4,31.5,24.6
179,1996-12,1996,12,Dec,15,72.4,185.5,82.9,55,4.5,26.6,33.0,22.6,30.7,23.9
180,1997-01,1997,1,Jan,3,13.9,15.4,77.3,48,7.7,27.1,33.3,23.1,31.5,24.0
181,1997-02,1997,2,Feb,8,35.7,105.4,80.8,52,4.9,27.4,33.7,22.3,31.9,24.5
182,1997-03,1997,3,Mar,10,17.4,34.3,79.6,44,7.0,28.1,34.2,23.7,32.8,24.9
183,1997-04,1997,4,Apr,12,44.6,118.4,82.7,46,5.6,28.1,34.4,22.3,32.5,25.0
184,1997-05,1997,5,May,6,35.6,41.6,77.7,49,6.7,29.3,35.1,24.7,33.6,26.3
185,1997-06,1997,6,Jun,12,25.0,78.9,76.7,49,7.3,29.3,34.7,23.6,33.2,26.0
186,1997-07,1997,7,Jul,9,5.4,18.6,76.5,47,6.5,28.8,34.0,23.6,32.4,26.0
187,1997-08,1997,8,Aug,9,61.4,86.6,78.2,52,5.7,28.8,34.0,22.0,32.6,25.9
188,1997-09,1997,9,Sep,3,24.3,31.1,77.0,43,3.2,28.8,33.8,24.1,32.2,26.3
189,1997-10,1997,10,Oct,8,36.5,78.4,81.0,49,3.2,28.2,34.5,22.8,32.4,25.1
190,1997-11,1997,11,Nov,13,53.6,158.3,82.8,50,5.4,27.8,33.7,23.5,32.0,24.8
191,1997-12,1997,12,Dec,23,65.8,351.9,85.3,50,5.3,27.3,32.9,23.0,31.3,24.6
192,1998-01,1998,1,Jan,13,79.7,268.8,83.2,53,7.4,28.0,33.6,23.5,31.8,25.3
193,1998-02,1998,2,Feb,5,11.9,32.5,78.3,50,8.9,28.9,34.6,24.3,33.1,25.9
194,1998-03,1998,3,Mar,7,20.9,58.8,77.8,47,7.6,29.5,36.0,24.4,34.1,26.3
195,1998-04,1998,4,Apr,13,64.9,187.7,81.8,53,6.7,29.2,34.8,24.2,33.1,26.3
196,1998-05,1998,5,May,18,83.7,370.8,82.3,53,5.9,29.4,34.8,24.5,33.1,26.3
197,1998-06,1998,6,Jun,15,42.8,198.8,82.1,50,5.3,28.6,34.7,22.9,32.4,25.4
198,1998-07,1998,7,Jul,18,55.8,259.2,81.8,51,5.1,28.1,33.6,22.7,31.5,24.9
199,1998-08,1998,8,Aug,18,35.5,195.0,85.4,56,4.6,27.5,32.8,23.2,30.9,24.7
200,1998-09,1998,9,Sep,17,52.0,258.2,84.1,47,4.5,27.9,33.1,22.7,31.1,24.9
201,1998-10,1998,10,Oct,20,32.4,222.7,82.3,48,5.0,28.0,34.5,22.5,31.9,24.6
202,1998-11,1998,11,Nov,11,57.5,107.2,81.9,49,4.6,27.9,34.1,23.4,31.7,24.9
203,1998-12,1998,12,Dec,22,84.4,463.4,88.5,55,3.1,26.6,32.6,22.8,30.4,24.2
204,1999-01,1999,1,Jan,19,52.5,193.9,88.3,60,3.9,26.6,32.8,22.6,30.4,24.3
205,1999-02,1999,2,Feb,9,32.1,67.4,82.4,58,6.7,27.2,33.0,22.0,31.3,24.5
206,1999-03,1999,3,Mar,16,52.4,181.4,87.5,56,4.3,27.1,33.0,22.0,31.5,24.4
207,1999-04,1999,4,Apr,14,29.2,88.5,82.6,46,5.8,28.3,34.4,23.0,32.5,25.4
208,1999-05,1999,5,May,13,42.8,157.1,84.4,52,5.7,28.0,34.2,23.7,31.7,25.3
209,1999-06,1999,6,Jun,13,34.5,103.4,81.9,54,6.0,28.2,33.7,21.8,31.8,25.3
210,1999-07,1999,7,Jul,11,51.4,225.4,82.7,56,6.8,27.8,32.9,21.6,31.2,24.7
211,1999-08,1999,8,Aug,13,42.4,204.0,84.1,51,5.7,27.5,32.9,21.9,31.0,24.5
212,1999-09,1999,9,Sep,13,41.5,125.9,81.7,50,6.5,27.9,33.9,22.1,31.9,24.9
213,1999-10,1999,10,Oct,20,32.8,205.0,84.6,53,4.7,27.2,32.5,22.4,31.1,24.3
214,1999-11,1999,11,Nov,19,39.0,241.5,84.4,47,4.7,27.3,33.4,22.9,31.3,24.5
215,1999-12,1999,12,Dec,17,76.9,340.5,85.3,56,4.1,26.8,33.0,22.4,30.6,24.1
216,2000-01,2000,1,Jan,14,127.6,275.2,86.9,60,4.0,26.3,31.8,22.8,29.8,23.9
217,2000-02,2000,2,Feb,18,39.9,237.8,86.5,58,5.8,26.6,32.4,21.7,31.0,23.8
218,2000-03,2000,3,Mar,15,37.9,238.3,85.8,44,5.8,27.2,34.0,20.2,31.9,24.3
219,2000-04,2000,4,Apr,20,87.4,311.6,85.6,54,5.3,27.5,33.4,22.6,31.9,24.6
220,2000-05,2000,5,May,10,36.7,96.8,82.4,49,6.8,28.6,34.2,22.6,32.7,25.7
221,2000-06,2000,6,Jun,16,41.7,157.5,84.3,53,4.6,27.6,33.3,22.5,31.1,24.7
222,2000-07,2000,7,Jul,12,34.6,116.1,82.6,56,6.5,28.1,33.1,22.1,31.6,25.3
223,2000-08,2000,8,Aug,18,28.1,113.5,83.8,46,5.1,27.5,33.3,22.2,30.7,24.8
224,2000-09,2000,9,Sep,12,25.7,81.1,82.2,48,6.2,28.0,34.3,23.5,32.1,25.2
225,2000-10,2000,10,Oct,14,38.3,120.9,82.1,51,4.0,27.8,34.1,22.9,31.8,24.9
226,2000-11,2000,11,Nov,21,72.0,385.7,87.1,47,3.7,27.3,34.2,22.9,31.3,24.7
227,2000-12,2000,12,Dec,18,45.8,236.0,87.6,60,4.2,27.0,32.6,23.0,31.0,24.4
228,2001-01,2001,1,Jan,21,125.4,425.8,87.4,49,4.4,26.5,32.8,22.7,30.3,24.0
229,2001-02,2001,2,Feb,11,28.2,86.6,83.6,58,4.8,27.0,32.4,23.0,30.9,24.5
230,2001-03,2001,3,Mar,20,41.1,297.3,84.5,50,5.4,27.5,33.7,22.7,31.8,24.2
231,2001-04,2001,4,Apr,18,68.9,203.3,86.0,50,5.3,27.7,33.5,23.2,31.8,25.1
232,2001-05,2001,5,May,12,56.1,164.9,85.0,57,6.0,28.5,33.5,22.4,32.2,25.7
233,2001-06,2001,6,Jun,11,49.6,137.1,82.5,49,4.9,28.2,33.6,21.5,31.4,25.4
234,2001-07,2001,7,Jul,9,44.8,111.3,80.8,50,8.1,28.4,33.7,23.0,32.2,25.5
235,2001-08,2001,8,Aug,14,36.6,158.3,83.7,50,4.9,28.0,33.7,22.8,31.1,25.2
236,2001-09,2001,9,Sep,13,74.3,162.0,82.3,54,6.2,28.0,33.1,22.8,31.6,25.2
237,2001-10,2001,10,Oct,20,77.2,252.2,83.7,47,4.4,27.6,34.0,22.6,31.4,24.7
238,2001-11,2001,11,Nov,15,102.6,175.3,84.9,54,3.7,27.2,33.2,23.2,30.8,24.7
239,2001-12,2001,12,Dec,20,211.1,609.0,86.8,55,4.5,26.7,33.2,22.2,30.7,24.1
