year,month_num,month,rainy_days,highest_daily_rainfall,total_rainfall,mean_relative_humidity,mean_sunshine_hours,mean_temp,temp_mean_daily_max,temp_mean_daily_min
2005,3,Mar,12,20.5,82.4,80.3,7.2,28.5,33.3,25.4
2005,4,Apr,10,49.6,81.7,81.0,7.0,28.7,33.0,25.7
2005,5,May,20,58.7,331.1,84.6,5.5,28.5,32.4,25.2
2005,6,Jun,15,27.6,82.3,82.7,5.4,28.8,32.0,26.1
2005,7,Jul,15,26.3,104.0,84.0,5.4,28.0,31.4,25.2
2005,8,Aug,13,13.8,58.5,82.9,6.5,28.2,31.5,25.5
2005,9,Sep,18,43.4,175.7,84.2,6.2,28.2,32.0,25.2
2005,10,Oct,19,76.2,314.5,85.2,5.1,27.6,31.3,24.7
2005,11,Nov,23,133.8,362.9,86.4,4.4,27.3,30.8,24.4
2005,12,Dec,19,47.3,166.0,85.6,4.5,27.3,31.0,24.6
2006,1,Jan,20,131.7,454.4,87.8,4.8,26.5,30.0,24.1
2006,2,Feb,8,44.5,115.5,84.0,7.4,27.5,31.5,24.8
2006,3,Mar,9,35.7,83.1,81.3,7.1,28.3,33.1,25.2
2006,4,Apr,18,43.3,239.8,87.0,5.3,27.6,32.1,24.8
2006,5,May,14,36.6,205.7,85.2,5.0,28.1,32.0,25.4
2006,6,Jun,16,37.3,236.8,86.3,5.5,27.8,31.0,25.1
2006,7,Jul,15,54.8,153.8,83.8,6.9,28.4,31.5,25.7
2006,8,Aug,14,30.4,127.3,81.9,6.7,28.3,31.5,25.5
2006,9,Sep,12,32.2,83.3,81.0,5.3,28.0,31.4,25.4
2006,10,Oct,8,37.8,102.0,80.9,4.8,28.3,32.2,25.4
2006,11,Nov,18,64.0,185.6,87.4,5.6,27.3,31.4,24.5
2006,12,Dec,22,198.0,765.9,88.5,3.2,26.6,30.0,24.3
2007,1,Jan,20,143.8,450.1,86.8,4.1,26.5,29.8,24.2
2007,2,Feb,3,51.4,105.5,82.5,7.6,27.3,31.5,24.5
2007,3,Mar,21,68.8,269.1,84.9,5.8,27.5,31.5,24.6
2007,4,Apr,14,102.4,240.2,84.7,5.9,28.1,32.0,25.2
2007,5,May,16,21.9,127.2,84.8,5.5,28.3,31.6,25.3
2007,6,Jun,12,38.0,139.0,82.8,6.0,28.4,32.1,25.4
2007,7,Jul,19,23.0,141.7,84.8,3.8,27.7,30.6,25.1
2007,8,Aug,20,55.9,190.7,82.9,5.7,27.7,30.9,25.0
2007,9,Sep,13,52.1,149.0,83.3,5.8,27.8,31.0,25.0
2007,10,Oct,16,51.8,237.2,83.2,5.6,27.8,31.6,24.9
2007,11,Nov,21,60.1,367.9,86.5,3.5,26.9,30.8,24.0
2007,12,Dec,20,159.0,468.6,86.8,4.5,26.4,30.1,24.1
2008,1,Jan,19,123.1,262.6,86.0,6.1,26.8,30.7,24.3
2008,2,Feb,8,48.5,129.2,82.9,5.5,26.7,30.9,24.0
2008,3,Mar,16,48.1,294.1,87.1,4.3,26.5,30.1,24.0
2008,4,Apr,13,34.2,87.2,82.0,6.0,28.1,31.9,25.1
2008,5,May,11,42.3,124.9,79.1,6.6,28.8,32.2,26.0
2008,6,Jun,12,45.2,118.3,81.5,5.6,28.2,31.4,25.3
2008,7,Jul,15,23.5,89.1,81.3,4.9,27.8,30.8,25.1
2008,8,Aug,18,133.9,327.3,83.8,5.5,27.4,30.9,24.7
2008,9,Sep,18,43.5,164.4,82.7,5.1,27.7,31.1,24.6
2008,10,Oct,19,41.6,159.5,84.9,4.5,27.6,31.4,25.0
2008,11,Nov,16,63.3,324.3,85.9,4.0,27.3,31.2,24.5
2008,12,Dec,17,52.0,244.2,83.7,4.8,26.9,30.5,24.3
2009,1,Jan,5,36.0,38.3,79.1,6.6,26.8,30.7,24.2
2009,2,Feb,8,74.2,201.8,80.7,6.4,27.3,32.3,24.2
2009,3,Mar,19,56.3,223.3,85.4,5.5,27.2,31.4,24.1
2009,4,Apr,12,86.6,183.7,82.2,6.2,28.5,32.3,25.4
2009,5,May,17,41.3,198.6,83.0,6.6,28.7,32.2,25.3
2009,6,Jun,8,5.8,21.8,79.8,7.0,29.1,32.6,26.2
2009,7,Jul,16,24.4,161.0,80.8,6.2,28.3,31.7,25.3
2009,8,Aug,12,35.5,177.8,80.7,6.5,28.3,31.7,25.6
2009,9,Sep,13,63.0,109.6,82.0,5.6,28.3,31.7,25.5
2009,10,Oct,15,38.4,133.4,82.8,5.4,28.2,32.1,25.2
2009,11,Nov,23,61.4,281.8,85.6,4.7,27.2,31.5,24.8
2009,12,Dec,18,42.6,189.8,86.3,4.7,27.1,30.7,24.6
2010,1,Jan,10,24.5,69.5,82.1,7.1,27.5,31.2,24.4
2010,2,Feb,4,2.9,6.3,77.3,8.8,28.9,33.5,25.5
2010,3,Mar,11,57.6,238.0,79.9,6.1,28.6,33.1,25.1
2010,4,Apr,18,40.0,158.5,84.1,6.2,28.6,32.8,25.0
2010,5,May,17,90.5,157.5,82.2,6.5,29.2,33.2,25.9
2010,6,Jun,19,43.0,240.5,83.9,5.1,28.3,31.4,25.2
2010,7,Jul,18,121.1,298.5,84.8,4.6,27.7,30.9,24.6
2010,8,Aug,16,60.2,158.4,84.2,5.4,27.9,31.2,24.6
2010,9,Sep,13,28.0,121.5,82.5,5.7,28.0,31.8,24.9
2010,10,Oct,17,58.1,166.2,82.3,4.2,28.3,31.7,25.1
2010,11,Nov,21,41.6,278.8,85.9,5.0,27.4,31.6,24.2
2010,12,Dec,14,85.8,181.4,85.3,3.6,26.8,30.8,23.9
2011,1,Jan,17,216.2,513.2,85.8,4.5,26.3,29.7,23.5
2011,2,Feb,8,17.4,23.0,81.1,7.5,27.3,31.7,24.1
